,Entry,Organism,EC numbers,Interpro_ids,Org
2,A4XPL2,Pseudomonas mendocina (strain ymp),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Pseudomonas mendocina
3,A6VDM7,Pseudomonas aeruginosa (strain PA7),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Pseudomonas aeruginosa
4,B7V3K3,Pseudomonas aeruginosa (strain LESB58),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Pseudomonas aeruginosa
0,Q2RAK2,Oryza sativa subsp. japonica (Rice),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR036918', 'InterPro:IPR040442']",Oryza sativa
1,Q2QXR8,Oryza sativa subsp. japonica (Rice),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR036918', 'InterPro:IPR040442']",Oryza sativa
2,B8BJ39,Oryza sativa subsp. indica (Rice),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR036918', 'InterPro:IPR040442']",Oryza sativa
3,B8BM17,Oryza sativa subsp. indica (Rice),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR036918', 'InterPro:IPR040442']",Oryza sativa
0,Q9CG64,Lactococcus lactis subsp. lactis (strain IL1403) (Streptococcus lactis),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Lactococcus lactis
0,Q9EXV4,Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Rhizobium meliloti
1,P56886,Sinorhizobium medicae (strain WSM419) (Ensifer medicae),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Sinorhizobium medicae
0,C1DHU3,Azotobacter vinelandii (strain DJ / ATCC BAA-1303),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Azotobacter vinelandii
0,O86033,Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Rhizobium meliloti
0,Q890J0,Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Lactiplantibacillus plantarum
0,Q29RK2,Bos taurus (Bovine),6.4.1.1,"['InterPro:IPR000089', 'InterPro:IPR000891', 'InterPro:IPR001882', 'InterPro:IPR003379', 'InterPro:IPR005479', 'InterPro:IPR005481', 'InterPro:IPR005482', 'InterPro:IPR005930', 'InterPro:IPR011053', 'InterPro:IPR011054', 'InterPro:IPR011761', 'InterPro:IPR011764', 'InterPro:IPR013785', 'InterPro:IPR016185']",Bos taurus
0,Q65FS5,Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Bacillus licheniformis
0,Q57625,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii),2.2.1.6,"['InterPro:IPR002912', 'InterPro:IPR004789', 'InterPro:IPR019455', 'InterPro:IPR027271', 'InterPro:IPR039557', 'InterPro:IPR045865']",Methanocaldococcus jannaschii
1,Q57725,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii),2.2.1.6,"['InterPro:IPR000399', 'InterPro:IPR011766', 'InterPro:IPR012000', 'InterPro:IPR012001', 'InterPro:IPR012846', 'InterPro:IPR029035', 'InterPro:IPR029061', 'InterPro:IPR039368', 'InterPro:IPR045229']",Methanocaldococcus jannaschii
0,P27881,Rattus norvegicus (Rat),2.7.1.1,"['InterPro:IPR001312', 'InterPro:IPR019807', 'InterPro:IPR022672', 'InterPro:IPR022673', 'InterPro:IPR043129']",Rattus norvegicus
0,Q9HRI1,Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1) (Halobacterium halobium),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR023079', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Halobacterium salinarum
1,B0R3Y1,Halobacterium salinarum (strain ATCC 29341 / DSM 671 / R1),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR023079', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Halobacterium salinarum
0,O27939,Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) (Methanobacterium thermoautotrophicum),6.4.1.1,"['InterPro:IPR004549', 'InterPro:IPR005479', 'InterPro:IPR005481', 'InterPro:IPR005482', 'InterPro:IPR011054', 'InterPro:IPR011761', 'InterPro:IPR011764', 'InterPro:IPR016185']",Methanothermobacter thermautotrophicus
1,O27179,Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) (Methanobacterium thermoautotrophicum),6.4.1.1,"['InterPro:IPR000089', 'InterPro:IPR000891', 'InterPro:IPR003379', 'InterPro:IPR005776', 'InterPro:IPR011053', 'InterPro:IPR013785']",Methanothermobacter thermautotrophicus
0,Q9CHN1,Lactococcus lactis subsp. lactis (strain IL1403) (Streptococcus lactis),2.7.7.27,"['InterPro:IPR001451', 'InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Lactococcus lactis
1,A2RMB7,Lactococcus lactis subsp. cremoris (strain MG1363),2.7.7.27,"['InterPro:IPR001451', 'InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Lactococcus lactis
2,Q030T6,Lactococcus lactis subsp. cremoris (strain SK11),2.7.7.27,"['InterPro:IPR001451', 'InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Lactococcus lactis
0,Q55988,Synechocystis sp. (strain PCC 6803 / Kazusa),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012829', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Synechocystis sp.
1,P72830,Synechocystis sp. (strain PCC 6803 / Kazusa),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012829', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Synechocystis sp.
0,Q58626,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii),6.4.1.1,"['InterPro:IPR004549', 'InterPro:IPR005479', 'InterPro:IPR005481', 'InterPro:IPR005482', 'InterPro:IPR011054', 'InterPro:IPR011761', 'InterPro:IPR011764', 'InterPro:IPR016185']",Methanocaldococcus jannaschii
1,Q58628,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii),6.4.1.1,"['InterPro:IPR000089', 'InterPro:IPR000891', 'InterPro:IPR001882', 'InterPro:IPR003379', 'InterPro:IPR005776', 'InterPro:IPR011053', 'InterPro:IPR013785']",Methanocaldococcus jannaschii
0,P30616,Trypanosoma brucei brucei,2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']",Trypanosoma brucei
1,P30615,Trypanosoma brucei brucei,2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']",Trypanosoma brucei
0,P26512,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),2.7.2.4,"['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR036393', 'InterPro:IPR041740', 'InterPro:IPR045865']",Corynebacterium glutamicum
1,P41398,Corynebacterium flavescens,2.7.2.4,"['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR036393', 'InterPro:IPR041740', 'InterPro:IPR045865']",Corynebacterium flavescens
0,Q42796,Glycine max (Soybean) (Glycine hispida),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Glycine max
0,Q54RF5,Dictyostelium discoideum (Social amoeba),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']",Dictyostelium discoideum
0,P11154,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),6.4.1.1,"['InterPro:IPR000089', 'InterPro:IPR000891', 'InterPro:IPR001882', 'InterPro:IPR003379', 'InterPro:IPR005479', 'InterPro:IPR005481', 'InterPro:IPR005482', 'InterPro:IPR005930', 'InterPro:IPR011053', 'InterPro:IPR011054', 'InterPro:IPR011761', 'InterPro:IPR011764', 'InterPro:IPR013785', 'InterPro:IPR016185']",Saccharomyces cerevisiae
1,P32327,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),6.4.1.1,"['InterPro:IPR000089', 'InterPro:IPR000891', 'InterPro:IPR001882', 'InterPro:IPR003379', 'InterPro:IPR005479', 'InterPro:IPR005481', 'InterPro:IPR005482', 'InterPro:IPR005930', 'InterPro:IPR011053', 'InterPro:IPR011054', 'InterPro:IPR011761', 'InterPro:IPR011764', 'InterPro:IPR013785', 'InterPro:IPR016185']",Saccharomyces cerevisiae
0,P21913,Rattus norvegicus (Rat),1.3.5.1,"['InterPro:IPR001041', 'InterPro:IPR004489', 'InterPro:IPR006058', 'InterPro:IPR009051', 'InterPro:IPR012675', 'InterPro:IPR017896', 'InterPro:IPR017900', 'InterPro:IPR025192', 'InterPro:IPR036010']",Rattus norvegicus
1,Q920L2,Rattus norvegicus (Rat),1.3.5.1,"['InterPro:IPR003952', 'InterPro:IPR003953', 'InterPro:IPR011281', 'InterPro:IPR014006', 'InterPro:IPR015939', 'InterPro:IPR027477', 'InterPro:IPR030664', 'InterPro:IPR036188', 'InterPro:IPR037099']",Rattus norvegicus
0,O62619,Drosophila melanogaster (Fruit fly),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']",Drosophila melanogaster
0,P74324,Synechocystis sp. (strain PCC 6803 / Kazusa),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Synechocystis sp.
1,P73922,Synechocystis sp. (strain PCC 6803 / Kazusa),3.1.3.11,['InterPro:IPR004464'],Synechocystis sp.
1,P73922,Synechocystis sp. (strain PCC 6803 / Kazusa),3.1.3.37,['InterPro:IPR004464'],Synechocystis sp.
0,Q8U940,Agrobacterium fabrum (strain C58 / ATCC 33970) (Agrobacterium tumefaciens (strain C58)),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Agrobacterium fabrum
1,B9J7X6,Agrobacterium radiobacter (strain K84 / ATCC BAA-868),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Agrobacterium radiobacter
0,P08065,Bacillus subtilis (strain 168),1.3.5.1,"['InterPro:IPR003952', 'InterPro:IPR003953', 'InterPro:IPR011280', 'InterPro:IPR015939', 'InterPro:IPR027477', 'InterPro:IPR030664', 'InterPro:IPR036188', 'InterPro:IPR037099']",Bacillus subtilis
1,P08066,Bacillus subtilis (strain 168),1.3.5.1,"['InterPro:IPR004489', 'InterPro:IPR009051', 'InterPro:IPR012675', 'InterPro:IPR017896', 'InterPro:IPR017900', 'InterPro:IPR025192', 'InterPro:IPR036010']",Bacillus subtilis
0,B2HWU2,Acinetobacter baumannii (strain ACICU),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Acinetobacter baumannii
1,B0VT80,Acinetobacter baumannii (strain SDF),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Acinetobacter baumannii
2,B0VDK0,Acinetobacter baumannii (strain AYE),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Acinetobacter baumannii
3,A3M7W9,Acinetobacter baumannii (strain ATCC 17978 / CIP 53.77 / LMG 1025 / NCDC KC755 / 5377),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Acinetobacter baumannii
0,P41403,Mycolicibacterium smegmatis (Mycobacterium smegmatis),2.7.2.4,"['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR036393', 'InterPro:IPR041740', 'InterPro:IPR045865']",Mycolicibacterium smegmatis
0,P22360,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']",Emericella nidulans
0,P46275,Pisum sativum (Garden pea),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Pisum sativum
1,Q8RW99,Pisum sativum (Garden pea),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Pisum sativum
0,P21599,Escherichia coli (strain K12),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']",Escherichia coli
1,P0AD61,Escherichia coli (strain K12),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']",Escherichia coli
2,Q02499,Geobacillus stearothermophilus (Bacillus stearothermophilus),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR008279', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036637', 'InterPro:IPR036918', 'InterPro:IPR040442']",Geobacillus stearothermophilus
3,P0AD62,Escherichia coli O157:H7,2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']",Escherichia coli
4,P77983,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']",Salmonella typhimurium
5,Q27686,Leishmania mexicana,2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']",Leishmania mexicana
6,P34038,Lactobacillus delbrueckii subsp. bulgaricus,2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR008279', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR036918', 'InterPro:IPR040442']",Lactobacillus delbrueckii
7,O08309,Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / LMG 5710 / VKM B-1787),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR036918', 'InterPro:IPR040442']",Clostridium acetobutylicum
8,P51182,Sporosarcina psychrophila (Bacillus psychrophilus),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR008279', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036637', 'InterPro:IPR036918', 'InterPro:IPR040442']",Sporosarcina psychrophila
9,P51181,Bacillus licheniformis,2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR008279', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036637', 'InterPro:IPR036918', 'InterPro:IPR040442']",Bacillus licheniformis
0,Q59RW5,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),2.7.1.59,"['InterPro:IPR001312', 'InterPro:IPR022672', 'InterPro:IPR022673', 'InterPro:IPR043129']",Candida albicans
0,Q59RW5,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),2.7.1.1,"['InterPro:IPR001312', 'InterPro:IPR022672', 'InterPro:IPR022673', 'InterPro:IPR043129']",Candida albicans
1,P83776,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),2.7.1.1,"['InterPro:IPR001312', 'InterPro:IPR022672', 'InterPro:IPR022673', 'InterPro:IPR043129']",Candida albicans
0,P52873,Rattus norvegicus (Rat),6.4.1.1,"['InterPro:IPR000089', 'InterPro:IPR000891', 'InterPro:IPR001882', 'InterPro:IPR003379', 'InterPro:IPR005479', 'InterPro:IPR005481', 'InterPro:IPR005482', 'InterPro:IPR005930', 'InterPro:IPR011053', 'InterPro:IPR011054', 'InterPro:IPR011761', 'InterPro:IPR011764', 'InterPro:IPR013785', 'InterPro:IPR013815', 'InterPro:IPR016185']",Rattus norvegicus
0,Q9U3X4,Dictyostelium discoideum (Social amoeba),1.3.5.1,"['InterPro:IPR003952', 'InterPro:IPR003953', 'InterPro:IPR011281', 'InterPro:IPR014006', 'InterPro:IPR015939', 'InterPro:IPR027477', 'InterPro:IPR030664', 'InterPro:IPR036188', 'InterPro:IPR037099']",Dictyostelium discoideum
1,Q55CC2,Dictyostelium discoideum (Social amoeba),1.3.5.1,"['InterPro:IPR001041', 'InterPro:IPR004489', 'InterPro:IPR006058', 'InterPro:IPR009051', 'InterPro:IPR012675', 'InterPro:IPR017896', 'InterPro:IPR017900', 'InterPro:IPR025192', 'InterPro:IPR036010']",Dictyostelium discoideum
0,P30523,Triticum aestivum (Wheat),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR029044']",Triticum aestivum
1,P12299,Triticum aestivum (Wheat),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR029044']",Triticum aestivum
2,P12300,Triticum aestivum (Wheat),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR029044']",Triticum aestivum
3,P12298,Triticum aestivum (Wheat),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR029044']",Triticum aestivum
0,O27492,Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) (Methanobacterium thermoautotrophicum),2.2.1.6,"['InterPro:IPR002912', 'InterPro:IPR004789', 'InterPro:IPR019455', 'InterPro:IPR027271', 'InterPro:IPR039557', 'InterPro:IPR045865']",Methanothermobacter thermautotrophicus
0,Q01813,Homo sapiens (Human),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR009161', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966', 'InterPro:IPR041914']",Homo sapiens
1,P08237,Homo sapiens (Human),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR009161', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966', 'InterPro:IPR041914']",Homo sapiens
2,P17858,Homo sapiens (Human),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR009161', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966', 'InterPro:IPR041914']",Homo sapiens
3,A1A4J1,Bos taurus (Bovine),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR009161', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966', 'InterPro:IPR041914']",Bos taurus
4,P12382,Mus musculus (Mouse),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR009161', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966', 'InterPro:IPR041914']",Mus musculus
5,P47858,Rattus norvegicus (Rat),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR009161', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966', 'InterPro:IPR041914']",Rattus norvegicus
6,Q0IIG5,Bos taurus (Bovine),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR009161', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966', 'InterPro:IPR041914']",Bos taurus
7,P47857,Mus musculus (Mouse),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR009161', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966', 'InterPro:IPR041914']",Mus musculus
8,Q9WUA3,Mus musculus (Mouse),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR009161', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966', 'InterPro:IPR041914']",Mus musculus
9,P30835,Rattus norvegicus (Rat),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR009161', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966', 'InterPro:IPR041914']",Rattus norvegicus
10,P47860,Rattus norvegicus (Rat),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR009161', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966', 'InterPro:IPR041914']",Rattus norvegicus
11,Q867C9,Equus caballus (Horse),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR009161', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966', 'InterPro:IPR041914']",Equus caballus
12,P00511,Oryctolagus cuniculus (Rabbit),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR009161', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966', 'InterPro:IPR041914']",Oryctolagus cuniculus
13,P47859,Oryctolagus cuniculus (Rabbit),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR009161', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966', 'InterPro:IPR041914']",Oryctolagus cuniculus
14,Q2HYU2,Sus scrofa (Pig),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR009161', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966', 'InterPro:IPR041914']",Sus scrofa
15,P52784,Canis lupus familiaris (Dog) (Canis familiaris),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR009161', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966', 'InterPro:IPR041914']",Canis lupus
16,Q5R7V5,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR009161', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966', 'InterPro:IPR041914']",Pongo abelii
17,Q5RAG9,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR009161', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966', 'InterPro:IPR041914']",Pongo abelii
18,Q5R636,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR009161', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966', 'InterPro:IPR041914']",Pongo abelii
19,Q60HD9,Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR009161', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966', 'InterPro:IPR041914']",Macaca fascicularis
