	Entry	Organism	EC numbers	Interpro_ids
8	Q1R646	Escherichia coli (strain UTI89 / UPEC)	['EC 3.5.1.88']	['InterPro:IPR023635', 'InterPro:IPR036821']
9	B7N171	Escherichia coli O81 (strain ED1a)	['EC 3.5.1.88']	['InterPro:IPR023635', 'InterPro:IPR036821']
0	Q9BDJ5	Sus scrofa (Pig)	['EC 3.5.1.92']	['InterPro:IPR003010', 'InterPro:IPR012101', 'InterPro:IPR036526', 'InterPro:IPR040154', 'InterPro:IPR043957']
0	Q13547	Homo sapiens (Human)	['EC 3.5.1.98', 'EC 3.5.1.-', 'EC 3.5.1.-']	['InterPro:IPR000286', 'InterPro:IPR003084', 'InterPro:IPR023696', 'InterPro:IPR023801', 'InterPro:IPR037138']
1	Q9UBN7	Homo sapiens (Human)	['EC 3.5.1.98', 'EC 3.5.1.-']	['InterPro:IPR000286', 'InterPro:IPR001607', 'InterPro:IPR013083', 'InterPro:IPR023696', 'InterPro:IPR023801', 'InterPro:IPR037138']
2	Q8WUI4	Homo sapiens (Human)	['EC 3.5.1.98']	['InterPro:IPR000286', 'InterPro:IPR017320', 'InterPro:IPR023696', 'InterPro:IPR023801', 'InterPro:IPR037138']
3	Q92769	Homo sapiens (Human)	['EC 3.5.1.98', 'EC 3.5.1.-']	['InterPro:IPR000286', 'InterPro:IPR003084', 'InterPro:IPR023696', 'InterPro:IPR023801', 'InterPro:IPR037138']
4	O15379	Homo sapiens (Human)	['EC 3.5.1.98', 'EC 3.5.1.-', 'EC 3.5.1.-']	['InterPro:IPR000286', 'InterPro:IPR003084', 'InterPro:IPR023696', 'InterPro:IPR023801', 'InterPro:IPR037138']
5	Q96DB2	Homo sapiens (Human)	['EC 3.5.1.98']	['InterPro:IPR000286', 'InterPro:IPR023696', 'InterPro:IPR023801', 'InterPro:IPR037138', 'InterPro:IPR044150']
6	Q9BY41	Homo sapiens (Human)	['EC 3.5.1.98', 'EC 3.5.1.-', 'EC 3.5.1.-']	['InterPro:IPR000286', 'InterPro:IPR003084', 'InterPro:IPR023696', 'InterPro:IPR023801', 'InterPro:IPR037138']
7	P56524	Homo sapiens (Human)	['EC 3.5.1.98']	['InterPro:IPR000286', 'InterPro:IPR017320', 'InterPro:IPR023696', 'InterPro:IPR023801', 'InterPro:IPR024643', 'InterPro:IPR033660', 'InterPro:IPR037138']
8	Q9UKV0	Homo sapiens (Human)	['EC 3.5.1.98']	['InterPro:IPR000286', 'InterPro:IPR017320', 'InterPro:IPR023696', 'InterPro:IPR023801', 'InterPro:IPR024643', 'InterPro:IPR037138']
9	Q9UQL6	Homo sapiens (Human)	['EC 3.5.1.98']	['InterPro:IPR000286', 'InterPro:IPR017320', 'InterPro:IPR023696', 'InterPro:IPR023801', 'InterPro:IPR024643', 'InterPro:IPR030703', 'InterPro:IPR037138']
0	O08914	Mus musculus (Mouse)	['EC 3.5.1.99', 'EC 3.1.1.-']	['InterPro:IPR020556', 'InterPro:IPR023631', 'InterPro:IPR030560', 'InterPro:IPR036928']
0	Q63150	Rattus norvegicus (Rat)	['EC 3.5.2.2']	['InterPro:IPR006680', 'InterPro:IPR011059', 'InterPro:IPR011778', 'InterPro:IPR032466']
0	Q9I676	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	['EC 3.5.2.2']	['InterPro:IPR006680', 'InterPro:IPR011059', 'InterPro:IPR011778', 'InterPro:IPR032466']
0	Q59699	Pseudomonas putida (Arthrobacter siderocapsulatus)	['EC 3.5.2.2']	['InterPro:IPR006680', 'InterPro:IPR011059', 'InterPro:IPR011778', 'InterPro:IPR032466']
0	B1J4I2	Pseudomonas putida (strain W619)	['EC 3.5.2.3']	['InterPro:IPR002195', 'InterPro:IPR004721', 'InterPro:IPR006680', 'InterPro:IPR032466']
1	B0KUE9	Pseudomonas putida (strain GB-1)	['EC 3.5.2.3']	['InterPro:IPR002195', 'InterPro:IPR004721', 'InterPro:IPR006680', 'InterPro:IPR032466']
2	A5VZH8	Pseudomonas putida (strain ATCC 700007 / DSM 6899 / BCRC 17059 / F1)	['EC 3.5.2.3']	['InterPro:IPR002195', 'InterPro:IPR004721', 'InterPro:IPR006680', 'InterPro:IPR032466']
3	Q88NW7	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	['EC 3.5.2.3']	['InterPro:IPR002195', 'InterPro:IPR004721', 'InterPro:IPR006680', 'InterPro:IPR032466']
0	A6T7D6	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)	['EC 3.5.2.3']	['InterPro:IPR002195', 'InterPro:IPR004721', 'InterPro:IPR006680', 'InterPro:IPR032466']
1	B5XXJ5	Klebsiella pneumoniae (strain 342)	['EC 3.5.2.3']	['InterPro:IPR002195', 'InterPro:IPR004721', 'InterPro:IPR006680', 'InterPro:IPR032466']
0	Q65LN0	Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46)	['EC 3.5.2.5']	['InterPro:IPR006680', 'InterPro:IPR011059', 'InterPro:IPR017593', 'InterPro:IPR032466']
0	Q8XGS6	Salmonella typhi	['EC 3.5.2.5']	['InterPro:IPR006680', 'InterPro:IPR011059', 'InterPro:IPR017593', 'InterPro:IPR032466']
1	B5EYC3	Salmonella agona (strain SL483)	['EC 3.5.2.5']	['InterPro:IPR006680', 'InterPro:IPR011059', 'InterPro:IPR017593', 'InterPro:IPR032466']
2	B4T9L5	Salmonella heidelberg (strain SL476)	['EC 3.5.2.5']	['InterPro:IPR006680', 'InterPro:IPR011059', 'InterPro:IPR017593', 'InterPro:IPR032466']
3	B4SXM8	Salmonella newport (strain SL254)	['EC 3.5.2.5']	['InterPro:IPR006680', 'InterPro:IPR011059', 'InterPro:IPR017593', 'InterPro:IPR032466']
4	Q57S43	Salmonella choleraesuis (strain SC-B67)	['EC 3.5.2.5']	['InterPro:IPR006680', 'InterPro:IPR011059', 'InterPro:IPR017593', 'InterPro:IPR032466']
5	A9MW45	Salmonella paratyphi B (strain ATCC BAA-1250 / SPB7)	['EC 3.5.2.5']	['InterPro:IPR006680', 'InterPro:IPR011059', 'InterPro:IPR017593', 'InterPro:IPR032466']
6	B5FLN3	Salmonella dublin (strain CT_02021853)	['EC 3.5.2.5']	['InterPro:IPR006680', 'InterPro:IPR011059', 'InterPro:IPR017593', 'InterPro:IPR032466']
7	B5QUT6	Salmonella enteritidis PT4 (strain P125109)	['EC 3.5.2.5']	['InterPro:IPR006680', 'InterPro:IPR011059', 'InterPro:IPR017593', 'InterPro:IPR032466']
8	Q7CR08	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	['EC 3.5.2.5']	['InterPro:IPR006680', 'InterPro:IPR011059', 'InterPro:IPR017593', 'InterPro:IPR032466']
9	B5BD11	Salmonella paratyphi A (strain AKU_12601)	['EC 3.5.2.5']	['InterPro:IPR006680', 'InterPro:IPR011059', 'InterPro:IPR017593', 'InterPro:IPR032466']
0	O07293	Pseudomonas aeruginosa	['EC 3.5.2.6']	['InterPro:IPR001460', 'InterPro:IPR002137', 'InterPro:IPR012338']
1	P14489	Pseudomonas aeruginosa	['EC 3.5.2.6']	['InterPro:IPR001460', 'InterPro:IPR002137', 'InterPro:IPR012338']
2	Q03170	Pseudomonas aeruginosa	['EC 3.5.2.6']	['InterPro:IPR000871', 'InterPro:IPR012338', 'InterPro:IPR023650', 'InterPro:IPR045155']
3	O84955	Pseudomonas aeruginosa	['EC 3.5.2.6']	['InterPro:IPR001460', 'InterPro:IPR002137', 'InterPro:IPR012338']
4	P16897	Pseudomonas aeruginosa	['EC 3.5.2.6']	['InterPro:IPR000871', 'InterPro:IPR012338', 'InterPro:IPR023650', 'InterPro:IPR045155']
5	P37322	Pseudomonas aeruginosa	['EC 3.5.2.6']	['InterPro:IPR000871', 'InterPro:IPR012338', 'InterPro:IPR023650', 'InterPro:IPR045155']
6	Q00983	Pseudomonas aeruginosa	['EC 3.5.2.6']	['InterPro:IPR001460', 'InterPro:IPR002137', 'InterPro:IPR012338']
7	Q51429	Pseudomonas aeruginosa	['EC 3.5.2.6']	['InterPro:IPR001460', 'InterPro:IPR002137', 'InterPro:IPR012338']
8	Q06778	Pseudomonas aeruginosa	['EC 3.5.2.6']	['InterPro:IPR001460', 'InterPro:IPR002137', 'InterPro:IPR012338']
9	Q51574	Pseudomonas aeruginosa	['EC 3.5.2.6']	['InterPro:IPR001460', 'InterPro:IPR002137', 'InterPro:IPR012338']
0	P04190	Bacillus cereus	['EC 3.5.2.6']	['InterPro:IPR001018', 'InterPro:IPR001279', 'InterPro:IPR036866']
1	P14488	Bacillus cereus	['EC 3.5.2.6']	['InterPro:IPR001018', 'InterPro:IPR001279', 'InterPro:IPR036866']
2	P00809	Bacillus cereus	['EC 3.5.2.6']	['InterPro:IPR000871', 'InterPro:IPR012338', 'InterPro:IPR023650', 'InterPro:IPR045155']
3	P06548	Bacillus cereus	['EC 3.5.2.6']	['InterPro:IPR000871', 'InterPro:IPR012338', 'InterPro:IPR023650', 'InterPro:IPR045155']
4	P10424	Bacillus cereus	['EC 3.5.2.6']	['InterPro:IPR000871', 'InterPro:IPR012338', 'InterPro:IPR023650', 'InterPro:IPR045155']
5	P25910	Bacteroides fragilis	['EC 3.5.2.6']	['InterPro:IPR001018', 'InterPro:IPR001279', 'InterPro:IPR036866']
6	P28018	Bacillus mycoides	['EC 3.5.2.6']	['InterPro:IPR000871', 'InterPro:IPR012338', 'InterPro:IPR023650', 'InterPro:IPR045155']
7	Q45726	Bacillus thuringiensis	['EC 3.5.2.6']	['InterPro:IPR000871', 'InterPro:IPR012338', 'InterPro:IPR023650', 'InterPro:IPR045155']
0	P10425	Bacillus sp. (strain 170)	['EC 3.5.2.6']	['InterPro:IPR001018', 'InterPro:IPR001279', 'InterPro:IPR036866']
0	Q8K010	Mus musculus (Mouse)	['EC 3.5.2.9']	['InterPro:IPR002821', 'InterPro:IPR003692', 'InterPro:IPR008040', 'InterPro:IPR045079']
0	Q61176	Mus musculus (Mouse)	['EC 3.5.3.1']	['InterPro:IPR006035', 'InterPro:IPR014033', 'InterPro:IPR020855', 'InterPro:IPR023696']
1	O08691	Mus musculus (Mouse)	['EC 3.5.3.1']	['InterPro:IPR006035', 'InterPro:IPR014033', 'InterPro:IPR020855', 'InterPro:IPR023696']
0	P05089	Homo sapiens (Human)	['EC 3.5.3.1']	['InterPro:IPR006035', 'InterPro:IPR014033', 'InterPro:IPR020855', 'InterPro:IPR023696']
1	P78540	Homo sapiens (Human)	['EC 3.5.3.1']	['InterPro:IPR006035', 'InterPro:IPR014033', 'InterPro:IPR020855', 'InterPro:IPR023696']
8	Q95KM0	Oryctolagus cuniculus (Rabbit)	['EC 3.5.3.1']	['InterPro:IPR006035', 'InterPro:IPR014033', 'InterPro:IPR020855', 'InterPro:IPR023696']
9	Q4VK78	Oryctolagus cuniculus (Rabbit)	['EC 3.5.3.1']	['InterPro:IPR006035', 'InterPro:IPR014033', 'InterPro:IPR020855', 'InterPro:IPR023696']
0	Q8KZT5	Arthrobacter sp. (strain KUJ 8602)	['EC 3.5.3.7', 'EC 3.5.3.10']	['InterPro:IPR005925', 'InterPro:IPR006035', 'InterPro:IPR020855', 'InterPro:IPR023696']
0	P60651	Escherichia coli (strain K12)	['EC 3.5.3.11']	['InterPro:IPR005925', 'InterPro:IPR006035', 'InterPro:IPR020855', 'InterPro:IPR023694', 'InterPro:IPR023696']
1	P60652	Escherichia coli O157:H7	['EC 3.5.3.11']	['InterPro:IPR005925', 'InterPro:IPR006035', 'InterPro:IPR020855', 'InterPro:IPR023694', 'InterPro:IPR023696']
2	B6I775	Escherichia coli (strain SE11)	['EC 3.5.3.11']	['InterPro:IPR005925', 'InterPro:IPR006035', 'InterPro:IPR020855', 'InterPro:IPR023694', 'InterPro:IPR023696']
3	B1XF99	Escherichia coli (strain K12 / DH10B)	['EC 3.5.3.11']	['InterPro:IPR005925', 'InterPro:IPR006035', 'InterPro:IPR020855', 'InterPro:IPR023694', 'InterPro:IPR023696']
4	B7LFJ6	Escherichia coli (strain 55989 / EAEC)	['EC 3.5.3.11']	['InterPro:IPR005925', 'InterPro:IPR006035', 'InterPro:IPR020855', 'InterPro:IPR023694', 'InterPro:IPR023696']
5	A1AFC5	Escherichia coli O1:K1 / APEC	['EC 3.5.3.11']	['InterPro:IPR005925', 'InterPro:IPR006035', 'InterPro:IPR020855', 'InterPro:IPR023694', 'InterPro:IPR023696']
6	Q1R791	Escherichia coli (strain UTI89 / UPEC)	['EC 3.5.3.11']	['InterPro:IPR005925', 'InterPro:IPR006035', 'InterPro:IPR020855', 'InterPro:IPR023694', 'InterPro:IPR023696']
7	B7LYW6	Escherichia coli O8 (strain IAI1)	['EC 3.5.3.11']	['InterPro:IPR005925', 'InterPro:IPR006035', 'InterPro:IPR020855', 'InterPro:IPR023694', 'InterPro:IPR023696']
8	B7MZN5	Escherichia coli O81 (strain ED1a)	['EC 3.5.3.11']	['InterPro:IPR005925', 'InterPro:IPR006035', 'InterPro:IPR020855', 'InterPro:IPR023694', 'InterPro:IPR023696']
9	C5A0K6	Escherichia coli (strain K12 / MC4100 / BW2952)	['EC 3.5.3.11']	['InterPro:IPR005925', 'InterPro:IPR006035', 'InterPro:IPR020855', 'InterPro:IPR023694', 'InterPro:IPR023696']
0	Q57757	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	['EC 3.5.3.11']	['InterPro:IPR005925', 'InterPro:IPR006035', 'InterPro:IPR020855', 'InterPro:IPR023696']
0	Q837U5	Enterococcus faecalis (strain ATCC 700802 / V583)	['EC 3.5.3.12']	['InterPro:IPR007466', 'InterPro:IPR017754']
0	Q9HU77	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	['EC 3.5.3.13']	['InterPro:IPR006680', 'InterPro:IPR010252', 'InterPro:IPR011059', 'InterPro:IPR032466']
0	Q9I6K2	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	['EC 3.5.3.17']	['InterPro:IPR005925', 'InterPro:IPR006035', 'InterPro:IPR020855', 'InterPro:IPR023696']
0	P38488	Pseudomonas putida (Arthrobacter siderocapsulatus)	['EC 3.5.3.3']	['InterPro:IPR000587', 'InterPro:IPR000994', 'InterPro:IPR029149', 'InterPro:IPR036005', 'InterPro:IPR039394']
0	A6V7Y9	Pseudomonas aeruginosa (strain PA7)	['EC 3.5.3.4']	['InterPro:IPR005164', 'InterPro:IPR008979', 'InterPro:IPR015908']
1	B7UW33	Pseudomonas aeruginosa (strain LESB58)	['EC 3.5.3.4']	['InterPro:IPR005164', 'InterPro:IPR008979', 'InterPro:IPR015908']
2	Q02JZ8	Pseudomonas aeruginosa (strain UCBPP-PA14)	['EC 3.5.3.4']	['InterPro:IPR005164', 'InterPro:IPR008979', 'InterPro:IPR015908']
3	Q9I3J8	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	['EC 3.5.3.4']	['InterPro:IPR005164', 'InterPro:IPR008979', 'InterPro:IPR015908']
0	P82678	Chlamydomonas reinhardtii (Chlamydomonas smithii)	['EC 3.5.3.4']	[]
0	P41142	Pseudomonas putida (Arthrobacter siderocapsulatus)	['EC 3.5.3.6']	['InterPro:IPR003876']
1	Q88P52	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	['EC 3.5.3.6']	['InterPro:IPR003876']
0	B0R9X5	Halobacterium salinarum (strain ATCC 29341 / DSM 671 / R1)	['EC 3.5.3.6']	[]
0	O49434	Arabidopsis thaliana (Mouse-ear cress)	['EC 3.5.3.9']	['InterPro:IPR001261', 'InterPro:IPR002933', 'InterPro:IPR010158', 'InterPro:IPR011650', 'InterPro:IPR036264']
1	Q655X8	Oryza sativa subsp. japonica (Rice)	['EC 3.5.3.9']	['InterPro:IPR001261', 'InterPro:IPR002933', 'InterPro:IPR010158', 'InterPro:IPR011650', 'InterPro:IPR036264']
0	C0M0V4	Glycine max (Soybean) (Glycine hispida)	['EC 3.5.3.9']	['InterPro:IPR001261', 'InterPro:IPR002933', 'InterPro:IPR010158', 'InterPro:IPR011650', 'InterPro:IPR036264']
1	I1L153	Glycine max (Soybean) (Glycine hispida)	['EC 3.5.3.9']	['InterPro:IPR001261', 'InterPro:IPR002933', 'InterPro:IPR010158', 'InterPro:IPR011650', 'InterPro:IPR036264']
0	Q12178	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	['EC 3.5.4.1']	['InterPro:IPR002125', 'InterPro:IPR016192', 'InterPro:IPR016193']
1	P78594	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	['EC 3.5.4.1']	['InterPro:IPR002125', 'InterPro:IPR016192', 'InterPro:IPR016193']
0	P31335	Gallus gallus (Chicken)	['EC 2.1.2.3', 'EC 3.5.4.10']	['InterPro:IPR002695', 'InterPro:IPR011607', 'InterPro:IPR016193', 'InterPro:IPR024050', 'InterPro:IPR024051', 'InterPro:IPR036914']
0	P63906	Salmonella typhi	['EC 3.5.4.13']	['InterPro:IPR010550', 'InterPro:IPR011962', 'InterPro:IPR033704', 'InterPro:IPR036157']
1	B5EXU9	Salmonella agona (strain SL483)	['EC 3.5.4.13']	['InterPro:IPR010550', 'InterPro:IPR011962', 'InterPro:IPR033704', 'InterPro:IPR036157']
2	B4TNH8	Salmonella schwarzengrund (strain CVM19633)	['EC 3.5.4.13']	['InterPro:IPR010550', 'InterPro:IPR011962', 'InterPro:IPR033704', 'InterPro:IPR036157']
3	B4T9T3	Salmonella heidelberg (strain SL476)	['EC 3.5.4.13']	['InterPro:IPR010550', 'InterPro:IPR011962', 'InterPro:IPR033704', 'InterPro:IPR036157']
4	C0Q1G1	Salmonella paratyphi C (strain RKS4594)	['EC 3.5.4.13']	['InterPro:IPR010550', 'InterPro:IPR011962', 'InterPro:IPR033704', 'InterPro:IPR036157']
5	B4SX92	Salmonella newport (strain SL254)	['EC 3.5.4.13']	['InterPro:IPR010550', 'InterPro:IPR011962', 'InterPro:IPR033704', 'InterPro:IPR036157']
6	Q57MN2	Salmonella choleraesuis (strain SC-B67)	['EC 3.5.4.13']	['InterPro:IPR010550', 'InterPro:IPR011962', 'InterPro:IPR033704', 'InterPro:IPR036157']
7	A9N7M1	Salmonella paratyphi B (strain ATCC BAA-1250 / SPB7)	['EC 3.5.4.13']	['InterPro:IPR010550', 'InterPro:IPR011962', 'InterPro:IPR033704', 'InterPro:IPR036157']
8	A9MKX9	Salmonella arizonae (strain ATCC BAA-731 / CDC346-86 / RSK2980)	['EC 3.5.4.13']	['InterPro:IPR011962', 'InterPro:IPR029054', 'InterPro:IPR033704', 'InterPro:IPR036157']
9	B5FMU0	Salmonella dublin (strain CT_02021853)	['EC 3.5.4.13']	['InterPro:IPR010550', 'InterPro:IPR011962', 'InterPro:IPR033704', 'InterPro:IPR036157']
0	P28248	Escherichia coli (strain K12)	['EC 3.5.4.13']	['InterPro:IPR011962', 'InterPro:IPR029054', 'InterPro:IPR033704', 'InterPro:IPR036157']
1	B6I8D6	Escherichia coli (strain SE11)	['EC 3.5.4.13']	['InterPro:IPR011962', 'InterPro:IPR029054', 'InterPro:IPR033704', 'InterPro:IPR036157']
2	P63902	Escherichia coli O157:H7	['EC 3.5.4.13']	['InterPro:IPR011962', 'InterPro:IPR029054', 'InterPro:IPR033704', 'InterPro:IPR036157']
3	B1X701	Escherichia coli (strain K12 / DH10B)	['EC 3.5.4.13']	['InterPro:IPR011962', 'InterPro:IPR029054', 'InterPro:IPR033704', 'InterPro:IPR036157']
4	B7M449	Escherichia coli O8 (strain IAI1)	['EC 3.5.4.13']	['InterPro:IPR011962', 'InterPro:IPR029054', 'InterPro:IPR033704', 'InterPro:IPR036157']
5	B7MWX9	Escherichia coli O81 (strain ED1a)	['EC 3.5.4.13']	['InterPro:IPR011962', 'InterPro:IPR029054', 'InterPro:IPR033704', 'InterPro:IPR036157']
6	B7L9T9	Escherichia coli (strain 55989 / EAEC)	['EC 3.5.4.13']	['InterPro:IPR011962', 'InterPro:IPR029054', 'InterPro:IPR033704', 'InterPro:IPR036157']
7	A1ACS1	Escherichia coli O1:K1 / APEC	['EC 3.5.4.13']	['InterPro:IPR011962', 'InterPro:IPR029054', 'InterPro:IPR033704', 'InterPro:IPR036157']
8	Q1RA05	Escherichia coli (strain UTI89 / UPEC)	['EC 3.5.4.13']	['InterPro:IPR011962', 'InterPro:IPR029054', 'InterPro:IPR033704', 'InterPro:IPR036157']
9	C4ZSF3	Escherichia coli (strain K12 / MC4100 / BW2952)	['EC 3.5.4.13']	['InterPro:IPR011962', 'InterPro:IPR029054', 'InterPro:IPR033704', 'InterPro:IPR036157']
0	P0A6T5	Escherichia coli (strain K12)	['EC 3.5.4.16']	['InterPro:IPR001474', 'InterPro:IPR018234', 'InterPro:IPR020602', 'InterPro:IPR043133', 'InterPro:IPR043134']
1	B6I8K3	Escherichia coli (strain SE11)	['EC 3.5.4.16']	['InterPro:IPR001474', 'InterPro:IPR018234', 'InterPro:IPR020602', 'InterPro:IPR043133', 'InterPro:IPR043134']
2	P0A6T7	Escherichia coli O157:H7	['EC 3.5.4.16']	['InterPro:IPR001474', 'InterPro:IPR018234', 'InterPro:IPR020602', 'InterPro:IPR043133', 'InterPro:IPR043134']
3	B1X7P1	Escherichia coli (strain K12 / DH10B)	['EC 3.5.4.16']	['InterPro:IPR001474', 'InterPro:IPR018234', 'InterPro:IPR020602', 'InterPro:IPR043133', 'InterPro:IPR043134']
4	Q1R9R9	Escherichia coli (strain UTI89 / UPEC)	['EC 3.5.4.16']	['InterPro:IPR001474', 'InterPro:IPR018234', 'InterPro:IPR020602', 'InterPro:IPR043133', 'InterPro:IPR043134']
5	A1AD13	Escherichia coli O1:K1 / APEC	['EC 3.5.4.16']	['InterPro:IPR001474', 'InterPro:IPR018234', 'InterPro:IPR020602', 'InterPro:IPR043133', 'InterPro:IPR043134']
6	B7MXG6	Escherichia coli O81 (strain ED1a)	['EC 3.5.4.16']	['InterPro:IPR001474', 'InterPro:IPR018234', 'InterPro:IPR020602', 'InterPro:IPR043133', 'InterPro:IPR043134']
7	B7LAH4	Escherichia coli (strain 55989 / EAEC)	['EC 3.5.4.16']	['InterPro:IPR001474', 'InterPro:IPR018234', 'InterPro:IPR020602', 'InterPro:IPR043133', 'InterPro:IPR043134']
8	C4ZU03	Escherichia coli (strain K12 / MC4100 / BW2952)	['EC 3.5.4.16']	['InterPro:IPR001474', 'InterPro:IPR018234', 'InterPro:IPR020602', 'InterPro:IPR043133', 'InterPro:IPR043134']
9	A8A214	Escherichia coli O9:H4 (strain HS)	['EC 3.5.4.16']	['InterPro:IPR001474', 'InterPro:IPR018234', 'InterPro:IPR020602', 'InterPro:IPR043133', 'InterPro:IPR043134']
0	P48596	Drosophila melanogaster (Fruit fly)	['EC 3.5.4.16']	['InterPro:IPR001474', 'InterPro:IPR018234', 'InterPro:IPR020602', 'InterPro:IPR043133', 'InterPro:IPR043134']
0	Q8VYU3	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	['EC 3.5.4.16']	['InterPro:IPR001474', 'InterPro:IPR020602', 'InterPro:IPR043133', 'InterPro:IPR043134']
0	P19465	Bacillus subtilis (strain 168)	['EC 3.5.4.16']	['InterPro:IPR001474', 'InterPro:IPR018234', 'InterPro:IPR020602', 'InterPro:IPR043133', 'InterPro:IPR043134']
1	P94398	Bacillus subtilis (strain 168)	['EC 3.5.4.16']	['InterPro:IPR003801', 'InterPro:IPR022838']
2	P48063	Bacillus pumilus (Bacillus mesentericus)	['EC 3.5.4.16']	['InterPro:IPR020602', 'InterPro:IPR043133']
3	A7Z630	Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / LMG 26770 / FZB42) (Bacillus amyloliquefaciens subsp. plantarum)	['EC 3.5.4.16']	['InterPro:IPR001474', 'InterPro:IPR018234', 'InterPro:IPR020602', 'InterPro:IPR043133', 'InterPro:IPR043134']
4	Q9KCC7	Halalkalibacterium halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) (Bacillus halodurans)	['EC 3.5.4.16']	['InterPro:IPR001474', 'InterPro:IPR018234', 'InterPro:IPR020602', 'InterPro:IPR043133', 'InterPro:IPR043134']
5	Q9KE60	Halalkalibacterium halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) (Bacillus halodurans)	['EC 3.5.4.16']	['InterPro:IPR003801', 'InterPro:IPR022838']
6	Q65ML7	Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46)	['EC 3.5.4.16']	['InterPro:IPR003801', 'InterPro:IPR022838']
0	Q57609	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	['EC 3.5.4.29']	['InterPro:IPR007839', 'InterPro:IPR029787', 'InterPro:IPR043128']
0	Q9Y2T3	Homo sapiens (Human)	['EC 3.5.4.3']	['InterPro:IPR006680', 'InterPro:IPR011059', 'InterPro:IPR014311', 'InterPro:IPR032466']
0	Q9VMY9	Drosophila melanogaster (Fruit fly)	['EC 3.5.4.3', 'EC 3.5.4.-']	['InterPro:IPR006680', 'InterPro:IPR011059', 'InterPro:IPR014311', 'InterPro:IPR032466']
0	O34598	Bacillus subtilis (strain 168)	['EC 3.5.4.3']	['InterPro:IPR002125', 'InterPro:IPR016192', 'InterPro:IPR016193']
0	Q57872	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	['EC 3.5.4.30']	['InterPro:IPR011962', 'InterPro:IPR029054', 'InterPro:IPR033704', 'InterPro:IPR036157']
0	Q58185	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	['EC 3.5.4.39']	['InterPro:IPR003801', 'InterPro:IPR022840']
0	P56658	Bos taurus (Bovine)	['EC 3.5.4.4']	['InterPro:IPR001365', 'InterPro:IPR006330', 'InterPro:IPR006650', 'InterPro:IPR028893', 'InterPro:IPR032466']
0	P00813	Homo sapiens (Human)	['EC 3.5.4.4']	['InterPro:IPR001365', 'InterPro:IPR006330', 'InterPro:IPR006650', 'InterPro:IPR028893', 'InterPro:IPR032466']
1	Q9NZK5	Homo sapiens (Human)	['EC 3.5.4.4']	['InterPro:IPR001365', 'InterPro:IPR006330', 'InterPro:IPR006331', 'InterPro:IPR013659', 'InterPro:IPR032466']
0	Q920P6	Rattus norvegicus (Rat)	['EC 3.5.4.4']	['InterPro:IPR001365', 'InterPro:IPR006330', 'InterPro:IPR006650', 'InterPro:IPR028893', 'InterPro:IPR032466']
0	P03958	Mus musculus (Mouse)	['EC 3.5.4.4']	['InterPro:IPR001365', 'InterPro:IPR006330', 'InterPro:IPR006650', 'InterPro:IPR028893', 'InterPro:IPR032466']
1	Q8BZT9	Mus musculus (Mouse)	['EC 2.4.2.1', 'EC 3.5.4.4', 'EC 2.4.2.28']	['InterPro:IPR003730', 'InterPro:IPR011324', 'InterPro:IPR038371']
